文件,输入MB,输出MB,状态
gacha\PermanentGachaPool\button.png,4.26,0.20,OK
hero\卜卜灵鉴2.png,5.14,0.29,OK
hero\安卡希雅时之重奏2.png,3.15,0.17,OK
hero\猫汐尔莲驱1.png,3.22,0.22,OK
hero\猫汐尔莲驱2.png,3.42,0.23,OK
hero\芬妮1.png,2.92,0.23,OK
hero\芬妮2.png,2.95,0.23,OK
hero\里芙1.png,3.10,0.20,OK
icon\CQWRSZDSA432.jpg,0.52,0.12,OK
hero\里芙2.png,3.32,0.21,OK
icon\buttton1.png,3.53,0.18,OK
icon\enemy_MANA_1.png,0.05,0.01,OK
icon\enemy_MANA_10.png,0.05,0.01,OK
icon\enemy_MANA_2.png,0.05,0.01,OK
icon\enemy_MANA_3.png,0.05,0.01,OK
icon\enemy_MANA_4.png,0.06,0.01,OK
icon\enemy_MANA_5.png,0.06,0.01,OK
icon\enemy_MANA_6.png,0.06,0.01,OK
icon\enemy_MANA_7.png,0.06,0.01,OK
icon\enemy_MANA_8.png,0.06,0.01,OK
icon\bitGold.png,4.78,0.73,OK
icon\enemy_spells_1.png,0.04,0.01,OK
icon\enemy_MANA_9.png,0.05,0.01,OK
icon\enemy_spells_2.png,0.04,0.01,OK
icon\enemy_spells_3.png,0.04,0.01,OK
icon\dataGold.png,5.23,0.99,OK
icon\levelup.png,5.22,0.71,OK
icon\levelup_0.png,3.64,0.60,OK
icon\mouse\mouse_0.png,0.00,0.00,OK
icon\mouse\mouse_1.png,0.00,0.00,OK
icon\mouse\mouse_2.png,0.00,0.00,OK
icon\mouse\mouse_3.png,0.00,0.00,OK
icon\mouse\mouse_4.png,0.00,0.00,OK
icon\mouse\mouse_5.png,0.00,0.00,OK
icon\mouse\mouse_6.png,0.00,0.00,OK
icon\mouse\mouse_7.png,0.00,0.00,OK
icon\mouse\mouse_8.png,0.00,0.00,OK
icon\mouse\mouse_9.png,0.00,0.00,OK
icon\mouse.png,0.00,0.00,OK
icon\levelup_1.png,4.15,0.68,OK
icon\leveldown.png,5.07,0.98,OK
icon\player_MANA_1.png,0.05,0.01,OK
icon\player_MANA_10.png,0.05,0.01,OK
icon\player_MANA_2.png,0.05,0.01,OK
icon\player_MANA_3.png,0.05,0.01,OK
icon\player_MANA_5.png,0.06,0.01,OK
icon\player_MANA_4.png,0.06,0.01,OK
icon\player_MANA_6.png,0.06,0.01,OK
icon\player_MANA_8.png,0.06,0.01,OK
icon\player_MANA_7.png,0.06,0.01,OK
icon\player_spells_1.png,0.04,0.01,OK
icon\player_MANA_9.png,0.05,0.01,OK
icon\rogue_background.png,3.54,0.12,OK
icon\player_spells_2.png,0.04,0.01,OK
icon\rogue_icon_1.png,0.45,0.11,OK
icon\player_spells_3.png,0.04,0.01,OK
icon\levelup_2.png,4.51,0.70,OK
icon\rogue_icon_2.png,0.37,0.10,OK
icon\rogue_icon_3.png,0.55,0.15,OK
icon\spell.png,0.91,0.07,OK
icon\rogue_star.png,5.42,1.34,OK
icon\sword.png,6.11,1.30,OK
icon\silverCoin.png,5.30,1.21,OK
icon\sword_gain.png,5.37,1.44,OK
keyword\01.png,0.40,0.07,OK
keyword\02.png,0.68,0.11,OK
keyword\03.png,0.41,0.07,OK
keyword\04.png,0.41,0.07,OK
